ID,Category,Difficulty,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectIndex,Hint,Tags
1,エンタメ,1,映画館でよく使われる「予告編」の別名は？,トレーラー,イントロ,ショートムービー,スポット,0,映画の本編前に流れるあれ,映画
2,エンタメ,1,舞台で俳優がセリフを忘れた時に使われる言葉は？,トチる,モヤる,ハズす,ノル,0,舞台用語です,舞台
3,エンタメ,1,音楽ライブで「アンコール」が行われる理由として最も一般的なのは？,観客の拍手,セットリストの都合,照明の調整,楽器の冷却,0,観客の反応で発生します,音楽
4,エンタメ,1,バラエティ番組で使われる「テロップ」とは何？,文字の表示,背景音,照明演出,観客席の映像,0,テレビではよく多用される,テレビ
5,エンタメ,2,ドラマ撮影で「クランクイン」は何を意味する？,撮影開始,打ち上げ,編集開始,音声収録,0,撮影現場で使う専門用語,ドラマ
6,エンタメ,2,ゲーム制作で「NPC」の意味は？,操作できないキャラ,次世代プログラムコード,ネットプレイキャラ,新規プレイヤー,0,ストーリーでよく話す相手,ゲーム
7,エンタメ,2,アニメのオープニング曲を指す言葉として最も一般的なのは？,OP,ST,IN,FR,0,2文字で表すことが多い,アニメ
8,エンタメ,2,映画でシーン間を暗転させる技法を何という？,フェードアウト,ノーカット,クロスライン,ダブルショット,0,編集テクニック,映画
9,エンタメ,2,音楽業界で「タイアップ」とは何？,別メディアとの連動企画,声優の交代,曲のショート版,ライブの後半戦,0,アニメの主題歌などに多い,音楽
10,エンタメ,2,ゲームで「隠し要素」の英語として最もよく使われるのは？,シークレット,ノーマル,ハードコア,ライブ,0,プレイヤーが見つける楽しみ,ゲーム
11,エンタメ,3,映画撮影で「ワンカット撮影」とは何？,切らずに撮影し続ける,一人だけ映す,特定の角度で撮る,背景のみ撮る,0,編集せずに一続きで撮る手法,映画
12,エンタメ,3,ドラマでよくある「スピンオフ作品」は何？,別視点の派生作品,制作費が低い作品,予告だけの作品,短編のまとめ,0,元作品のキャラに焦点を当てる,ドラマ
13,エンタメ,3,アニメ制作で「原画マン」の主な仕事は？,重要な絵の決定稿を描く,背景を塗る,音声を録る,企画を立てる,0,アニメの動きの要になる部分,アニメ
14,エンタメ,3,ゲーム開発で「ベータ版」とはどんな段階？,不具合をテストする段階,完成品,アイデアスケッチ,デザイン決定稿,0,正式版前のテスト,ゲーム
15,エンタメ,3,音楽で「アコースティック」とは何を指す？,電気を使わない演奏,EDMの一種,金属楽器のみ,ソロ演奏,0,ギターでよく聞く言葉,音楽
16,エンタメ,1,テレビ番組で本番前に行う「リハーサル」は何の略？,特に略ではない,Ready Hall,Re Hearse,Run Hall,0,実は略語ではありません,テレビ
17,エンタメ,2,映画チケットの「レイトショー」とは？,夜遅い時間帯の上映,声優による解説付き上映,短編映画のみ上映,割引のない回,0,仕事帰りの人が行きやすい,映画
18,エンタメ,2,ゲームで「クラフト要素」があるとはどんな意味？,物を作れる,敵が多い,時間制限がある,オンライン専用,0,素材を集めることが多い,ゲーム
19,エンタメ,1,アニメでよく見る「SDキャラ」の“SD”の意味は？,スーパーデフォルメ,サードデザイン,スタンダード,スーパードライブ,0,小さくて可愛い姿,アニメ
20,エンタメ,3,映画で「エンドロール」が長い作品の特徴として多いのは？,制作スタッフが多い,主演が少ない,短編作品である,予算が少ない,0,スタッフ名がずらりと出る,映画
21,エンタメ,1,音楽でバンドの「フロントマン」とはどんな役割の人？,中心的な存在,照明担当,楽器保守,舞台監督,0,バンドを象徴する人,音楽
22,エンタメ,1,アニメで「アイキャッチ」と呼ばれるのはどの部分？,区切りの短い映像,ED曲の最後,キャラ紹介,スポンサー読み上げ,0,本編の途中に入る映像,アニメ
23,エンタメ,1,映画でよくある「NGシーン」は何の略？,No Good,Next Goal,New Gate,No Gallery,0,失敗シーンのこと,映画
24,エンタメ,1,テレビでよく使われる「ワイプ」は何を指す？,小さな顔の映像,小道具,効果音,撮影照明,0,リアクションが映る四角い枠,テレビ
25,エンタメ,2,ゲームプレイで「周回プレイ」とは？,同じステージを繰り返す,一定時間ごとに休む,敵が増えること,ストーリーが分岐する,0,アイテム集めでよく使う言葉,ゲーム
26,エンタメ,2,ドラマの台本で「ト書き」とは何のこと？,動作や状況の説明,台詞の強調,背景の種類,衣装の指定,0,俳優の動きが書かれている部分,ドラマ
27,エンタメ,2,音楽ライブで「物販コーナー」に並ぶものとして最も一般的なのは？,グッズ,CDプレーヤーの修理,楽屋見学券,舞台の設計図,0,会場限定アイテムも多い,音楽
28,エンタメ,2,アニメ制作で「作画崩壊」とはどんな現象？,絵の品質が低下する,音声が途切れる,背景が真っ黒になる,話数が飛ぶ,0,キャラの顔が変わることもある,アニメ
29,エンタメ,2,映画の公開初日に販売される「初日舞台挨拶」で行われる内容は？,出演者があいさつ,未公開映像の無料公開,館内の撮影許可,スタッフの給料発表,0,俳優が壇上に立つイベント,映画
30,エンタメ,3,ゲームの「サウンドトラック」とはどれを指す？,ゲーム内で使われた音楽集,効果音一覧,開発者インタビュー,ストーリー要約,0,略してサントラ,ゲーム
31,エンタメ,3,演劇で「千秋楽」と呼ばれるのは何？,最終公演,初日の前日,深夜だけの公演,休日限定の追加回,0,公演の締めくくりの日,舞台
32,エンタメ,3,テレビ番組で「総集編」はどのような回？,過去の内容のまとめ,本番前の打ち合わせ,出演者の休暇回,NG集だけの回,0,よく年末に放送される,テレビ
33,エンタメ,3,アニメ制作における「背景美術」の主な役割は？,背景を描く,声を録る,動きを決める,BGMを作る,0,建物や自然の景色を描く部署,アニメ
34,エンタメ,3,映画で「モーションキャプチャー」を使う理由は？,動きを正確に再現するため,出演者の人数を減らすため,照明を簡単にするため,字幕を不要にするため,0,特殊スーツで記録するやつ,映画
35,エンタメ,2,ゲームの「インディー作品」の特徴として最も一般的なのは？,小規模チーム制作,必ずオフライン専用,海外のみで発売,必ず3Dグラフィック,0,個性的な作品が多い,ゲーム
36,エンタメ,1,音楽用語「メロディ」とは何を指す？,主旋律,低音の響き,演奏者の配置,音量調整,0,人が口ずさみやすい部分,音楽
37,エンタメ,2,ドラマで「ロケ地」と呼ばれるのは？,撮影場所,台本の保管場所,編集室,衣装倉庫,0,実際の建物や街を使う,ドラマ
38,エンタメ,1,アニメの「キャラデザ」とは何の略？,キャラクターデザイン,キャラデータ再生,キャラデバイス,キャラディスプレイ,0,見た目を決める担当,アニメ
39,エンタメ,3,映画の「サウンドデザイン」の役割として最も適切なのは？,音の演出全体を作る,配役を決める,照明を配置する,舞台セットを作る,0,SEや環境音の調整も担当,映画
40,エンタメ,2,ゲームの「チュートリアル」が存在する主な理由は？,操作方法を説明するため,データを軽くするため,マップを隠すため,敵を強化するため,0,初心者に分かりやすくする,ゲーム
41,エンタメ,1,映画館の座席で「中央より少し後ろ」が好まれる理由は？,音と映像のバランスが良い,前より料金が安い,字幕が大きく見える,ポップコーンの匂いが弱い,0,最も自然に感じる位置,映画
42,エンタメ,1,アニメの「総作監」という役職の主な仕事は？,全体の作画チェック,声優の選出,台本を執筆,背景を描く,0,作画のクオリティ統一,アニメ
43,エンタメ,1,音楽ライブで「MC」と呼ばれる時間は何？,トーク時間,ミニコンサート,メインコーラス,マイクチェック,0,曲の合間のしゃべり,音楽
44,エンタメ,1,ゲームの「主人公」を英語で表す一般的な言葉は？,プロタゴニスト,アクター,ウィナー,ファイター,0,ストーリーの中心人物,ゲーム
45,エンタメ,2,映画の制作で「ロケハン」は何の略？,ロケーションハンティング,ローカルハンドリング,ロケートハンド,ロールハンドル,0,撮影場所の下見,映画
46,エンタメ,2,ドラマ撮影の「ワンシーン・ワンカット」とは？,1動作を切らずに撮る,1話分を連続撮影,音声なしで撮る,夜間のみ撮る,0,編集なしのチャレンジ撮影,ドラマ
47,エンタメ,2,アニメで「作監修正」と呼ばれる作業は？,崩れた絵を直す,音声を整える,背景色を統一,ストーリーを修正,0,作画の品質調整,アニメ
48,エンタメ,2,音楽で「ライブハウス」と呼ばれる場所の特徴は？,小規模で生演奏向き,必ず撮影禁止,飲食不可,クラシック専用,0,バンドの登竜門,音楽
49,エンタメ,2,ゲームの「バフ」とは何？,能力アップ効果,敵の増援,スコアの罰,アイテム倉庫,0,RPGや対戦ゲームでよく使う用語,ゲーム
50,エンタメ,2,テレビ番組の制作で「台本読み」を行う目的は？,段取りの確認,音声調整のみ,出演者の衣装合わせ,カメラの荷下ろし,0,撮影前の準備,テレビ
51,エンタメ,3,映画音響の「フォーリー」とは何？,後から足す効果音の収録,本番中のライブ演奏,撮影現場の雑音削除,音声の速度調整,0,人の動きを録音で再現,映画
52,エンタメ,3,アニメの「タイムシート」は何のための資料？,動きと時間の指示,声優リスト,撮影スケジュール,視聴率の予測,0,1カットの動きの設計図,アニメ
53,エンタメ,3,ゲームで「パーティ編成」が重要になるジャンルは？,RPG,レース,パズル,音ゲー,0,キャラごとの役割がある,ゲーム
54,エンタメ,3,ドラマ撮影で「アドリブ」が採用される理由は？,自然な表現が生まれるため,台本がないため,時間短縮になるため,照明が強いため,0,俳優の演技力が活きる,ドラマ
55,エンタメ,3,音楽制作で「ミックスダウン」の目的は？,音のバランスを整える,ボーカルを撮り直す,歌詞を書き換える,ライブ日程を決める,0,最終的な音の調整工程,音楽
56,エンタメ,2,映画の「公開初週」が重要視されるのはなぜ？,興行収入の指標になる,限定ポスターの配布が多い,字幕版しかないから,劇場数が減るから,0,成功を占うデータになる,映画
57,エンタメ,2,アニメの「PV」とは？,プロモーション映像,プレイバージョン,ポストビジョン,プレスビュー,0,宣伝用の短い動画,アニメ
58,エンタメ,1,ゲームでアイテムを集める行為を指す俗語は？,周回,反復,巡回,再訪,0,ドロップ狙いでよく行う,ゲーム
59,エンタメ,1,ドラマで「シーズン2」が制作される主な理由は？,人気が続いたため,ロケ地が余ったため,俳優の暇があったため,スポンサーが撤退したため,0,視聴者需要があると判断,ドラマ
60,エンタメ,3,テレビ制作で「マルチカム方式」とは？,複数のカメラで同時撮影,複数台のテレビ放送,複数言語で同時収録,複数の編集者が同時作業,0,スタジオ番組でよく使う方式,テレビ
61,エンタメ,1,映画の本編後に流れる「おまけシーン」を一般的に何と呼ぶ？,ポストクレジット,エンドトレーラー,バックカット,オーバーシーン,0,マーベル作品などで有名,映画
62,エンタメ,1,アニメでキャラの口の動きと音声を合わせる工程は？,リップシンク,ボイスリンク,マウスアライメント,サウンドマッチ,0,アニメ制作で重要な工程,アニメ
63,エンタメ,1,ゲームで「イベントシーン」とは何？,ストーリーが進む場面,敵が大量に出る場面,プレイヤーが操作不能になるバグ,隠しアイテムが必ず出る,0,ムービー演出とも言う,ゲーム
64,エンタメ,1,音楽ライブの「セトリ」とは何の略？,セットリスト,セッションリテイク,セカンドリズム,セントリロード,0,当日の曲順のこと,音楽
65,エンタメ,2,テレビ番組で「テロップ演出」が多いのはなぜ？,視覚的に情報を伝えやすい,音声が録れないため,字幕スタッフが余るため,決まりごとのため,0,バラエティ特有の演出,テレビ
66,エンタメ,2,映画の撮影で「グリーンバック」が使われる主な目的は？,背景を合成するため,照明を安定させるため,音声を消すため,衣装を目立たせるため,0,VFXに必須の素材,映画
67,エンタメ,2,ゲームの「トロフィー」や「実績」の役割は？,達成度を記録する,難易度を下げる,通信速度を上げる,敵を弱体化する,0,やり込み要素のひとつ,ゲーム
68,エンタメ,2,アニメで「キャラソン」とはどんな楽曲？,キャラが歌う歌,声優の挨拶用音声,主題歌の別バージョン,物語に出ない曲,0,作品の世界観を広げる楽曲,アニメ
69,エンタメ,2,ドラマで「ワンロケ」と呼ばれる撮影方法は？,1つの場所だけで撮る,1回で撮影終了,夜だけ撮影,撮影時間が短い,0,ロケ地を移動しない撮影,ドラマ
70,エンタメ,3,映画制作で「プリビズ」とは何？,事前イメージ動画,予告編の別名,試写会の招待券,俳優の顔合わせ,0,VFX映画でよく使われる,映画
71,エンタメ,3,ゲームの「パッチノート」とは？,更新内容の一覧,攻略本の別名,オートセーブの履歴,マルチプレイの説明書,0,アップデート時に公開される,ゲーム
72,エンタメ,3,音楽収録で「ダブルトラック」とは？,同じ歌を重ね録りする,2つのジャンルを混ぜる,録音を2回中断する,2会場同時ライブ,0,厚みのある声にする技法,音楽
73,エンタメ,3,アニメで「線撮」とは何のこと？,線画のみの仮映像,声優の線読み,背景線だけの設定,脚本の線引き,0,完成前に動きを確認する素材,アニメ
74,エンタメ,1,テレビの「生放送」が録画放送と違う最大の特徴は？,リアルタイム進行,字幕がつかない,CMが入らない,出演者が少ない,0,トラブルもそのまま放送される,テレビ
75,エンタメ,2,映画の「フィルムグレイン」とは何？,粒状の質感,音のノイズ,俳優の即興,古い脚本形式,0,昔の映画風の演出に使われる,映画
76,エンタメ,1,ゲームで「オートセーブ」が便利な理由は？,自動で記録される,敵が弱くなる,課金が増える,必ず勝てる,0,データ消失を防ぐ,ゲーム
77,エンタメ,2,音楽で「サビ」と呼ばれる部分は？,曲の最も盛り上がるパート,最初の静かな部分,伴奏だけの部分,曲間の無音部分,0,キャッチーな部分のこと,音楽
78,エンタメ,3,ドラマ制作で「卓録」とはどんな収録？,机を囲んで声を録る,机の上の小道具撮り,録音卓の修理,食卓シーンの録音,0,一斉に収録する手法,ドラマ
79,エンタメ,3,アニメで「多層撮影」が必要になる理由は？,背景とキャラを別々に動かすため,音声トラックを分けるため,字幕を自動生成するため,台本の誤字を修正するため,0,昔のアニメで多用された技法,アニメ
80,エンタメ,3,映画の「カラーグレーディング」の目的は？,映像の色を整える,音量を調整する,字幕の位置を直す,俳優の動きを編集する,0,VFXチームが担当することも多い,映画
81,エンタメ,1,映画の上映前に流れる「マナーCM」の主な目的は？,観客への注意喚起,本編の短縮,座席指定の案内,館内の換気,0,スマホ禁止などを伝える映像,映画
82,エンタメ,1,アニメ制作で「セル画」とは何？,昔の透明な描画素材,声優が使う台本,録音機材の一種,キャラの3Dモデル,0,デジタル前のアニメ素材,アニメ
83,エンタメ,1,ゲームで「ミニマップ」が便利な理由は？,位置関係が把握できる,グラフィックが改善される,敵が弱体化する,ストーリーが短縮される,0,迷わないための補助機能,ゲーム
84,エンタメ,1,テレビ番組で「ロケVTR」とは何？,外で撮影した映像,速報映像,スタジオの固定カメラ映像,声だけの収録素材,0,事前収録パートに多い,テレビ
85,エンタメ,2,音楽ライブで「アンプ」を使う目的は？,音を増幅する,テンポを記録する,照明を同期させる,客席を撮影する,0,楽器の音を大きくする装置,音楽
86,エンタメ,2,映画の「ロングショット」とはどんな映し方？,広い範囲を映す,顔を大きく映す,手だけを映す,暗い場所のみ映す,0,風景などを大きく捉える,映画
87,エンタメ,2,アニメの「設定資料集」に含まれるものは？,キャラや背景のデザイン,声優の個人日記,収録日の天気,スポンサーの一覧,0,作品世界の基本情報,アニメ
88,エンタメ,2,ゲームの「UI」とは何？,ユーザーインターフェース,ユニバーサルインパクト,ユニットインストール,アンダーアイテム,0,操作画面やボタンのこと,ゲーム
89,エンタメ,2,ドラマの撮影で「立ち位置」を確認する理由は？,カメラに映る位置を合わせるため,風の向きを知るため,俳優の背丈を測るため,マイクの色を選ぶため,0,俳優の配置は非常に大事,ドラマ
90,エンタメ,3,映画の「サウンドスケープ」とは何を意味する？,音で空間を表現する,字幕の長さ調整,照明による演出補助,カメラ角度の変更,0,環境音を重視した演出,映画
91,エンタメ,3,アニメの「作画枚数」が多いほどどうなる？,動きが滑らかになる,音が大きくなる,背景が自動生成される,声優が増える,0,アクションシーンで重要,アニメ
92,エンタメ,3,ゲームの「クールタイム」とは？,再使用までの待機時間,ゲームの休憩時間,夜の特殊モード,キャラの気分値,0,スキル発動に関わる要素,ゲーム
93,エンタメ,3,テレビで「NGワード」を設定する理由は？,放送上問題があるため,スポンサーが嫌うため,俳優の緊張を和らげるため,スタッフが面倒だから,0,不適切表現を避けるため,テレビ
94,エンタメ,2,音楽CDの「ジャケット」の主な役割は？,作品のイメージを伝える,録音データの保護,著作権を記録する,放送局へ送る台本,0,デザインの重要ポイント,音楽
95,エンタメ,2,映画の「スローモーション」が効果的なのはどんな場面？,動きを強調したい時,音を消したい時,背景を暗くしたい時,俳優数を減らしたい時,0,アクションや感動シーンで多用,映画
96,エンタメ,1,ゲームで「ボス戦」が盛り上がる理由は？,目標が分かりやすい,キャラが必ず強化される,装備が全て壊れる,ストーリーが自動終了,0,クライマックス演出の定番,ゲーム
97,エンタメ,2,アニメ制作で「アフレコ台本」が通常の台本と違う点は？,映像タイミングが細かい,紙の色が違う,必ず縦書き,音楽コードが書かれている,0,声を合わせやすくするため,アニメ
98,エンタメ,3,ドラマの「テイク数」が多い理由として最も一般的なのは？,演技や構図の調整,俳優の人数を減らすため,カメラを温めるため,照明を消すため,0,より良い演技にするため,ドラマ
99,エンタメ,3,映画の「被写界深度」が浅い時の特徴は？,背景がぼける,音がこもる,色が白くなる,字幕が消える,0,人物に視線を集中させる,映画
100,エンタメ,3,ゲームにおける「レベルデザイン」とは？,ステージの配置や難度設計,キャラの年齢設定,ゲームの主題歌制作,システムの暗号化,0,ゲームの遊びやすさを決める重要工程,ゲーム
101,漢字,1,「早急」の読みは？,さっきゅう,そうきゅう,さっきん,そうきん,0,ニュースでよく聞く読み方,読み
102,漢字,1,「凡人」の読みは？,ぼんじん,はんじん,ほんにん,ばんにん,0,特別ではない人のこと,読み
103,漢字,1,「玄人」の読みは？,くろうと,げんじん,げんろうと,くろじん,0,プロフェッショナルの意味,読み
104,漢字,1,「徒歩」の読みは？,とほ,とぼ,とうふ,とふ,0,歩いて移動すること,読み
105,漢字,2,「如実」の読みは？,にょじつ,じょじつ,じょみつ,にょみつ,0,ありのままという意味,読み
106,漢字,2,「形骸化」の読みは？,けいがいか,けいかいか,ぎょうがいか,けいがか,0,形式だけが残ること,読み
107,漢字,2,「机上の空論」の読みは？,きじょうのくうろん,きしょうのからろん,きじょうのそらろん,きしょうのくうろん,0,実行性がない議論,慣用句
108,漢字,2,「既視感」の読みは？,きしかん,きしかる,ぎしかん,さいしかん,0,デジャヴの日本語訳,読み
109,漢字,2,「風物詩」の読みは？,ふうぶつし,ふぶつし,ふうもつし,ふつぶし,0,季節を象徴するもの,読み
110,漢字,3,「独擅場」の読みは？,どくせんじょう,どくさんじょう,どくぜんじょう,どっせんじょう,0,実は誤読が広まっている熟語,難読
111,漢字,3,「汎用」の読みは？,はんよう,ばんよう,ふよう,ほうよう,0,いろいろ使えるという意味,読み
112,漢字,3,「喧伝」の読みは？,けんでん,げんでん,けんてん,げんてん,0,大げさに広めること,読み
113,漢字,3,「齟齬」の読みは？,そご,そぎょ,しょご,しょぎょ,0,食い違いという意味,難読
114,漢字,3,「縷々」の読みは？,るる,りょりょ,ろろ,るりょ,0,細かく述べる様子,難読
115,漢字,2,「泰然」の読みは？,たいぜん,たいれん,たいなん,たいせん,0,落ち着いて動じない様子,読み
116,漢字,2,「破綻」の読みは？,はたん,ばたん,はじん,はぜん,0,物事がうまくいかなくなること,読み
117,漢字,1,「至急」の読みは？,しきゅう,しきん,しっきゅう,しゅうきゅう,0,急いでという意味,読み
118,漢字,2,「徒労」の読みは？,とろう,どろう,とろ,どろ,0,無駄に終わること,読み
119,漢字,3,「彷徨う」の読みは？,さまよう,さまよる,さばよう,そまよう,0,あてもなく歩くこと,難読
120,漢字,3,「醍醐味」の読みは？,だいごみ,だいこみ,だいごあじ,だいごみそ,0,物事の本当の楽しさ,読み
121,漢字,1,「見栄」の読みは？,みえ,けんえい,げんば,みば,0,つい張りたくなるもの,読み
122,漢字,1,「曖昧」の読みは？,あいまい,あまい,おうまい,あいみ,0,はっきりしない様子,読み
123,漢字,1,「至極」の読みは？,しごく,しぎょく,しきょく,しろく,0,とてもという意味,読み
124,漢字,1,「余暇」の読みは？,よか,よかい,よは,よかん,0,自由に使える時間,読み
125,漢字,2,「顕著」の読みは？,けんちょ,げんちょ,けんちゃ,げんちゃ,0,目立つ様子,読み
126,漢字,2,「訃報」の読みは？,ふほう,ほうふ,ふひょう,ふぼう,0,悲しい知らせのこと,読み
127,漢字,2,「遵守」の読みは？,じゅんしゅ,じんしゅ,じゅんそ,じゅんじょ,0,ルールを守ること,読み
128,漢字,2,「破損」の読みは？,はそん,はざん,はぞん,はさん,0,こわれてしまうこと,読み
129,漢字,2,「越権」の読みは？,えっけん,えつけん,おっけん,えんけん,0,権限を超えること,読み
130,漢字,3,「夥しい」の読みは？,おびただしい,はなはだしい,いちじるしい,めざましい,0,数量が非常に多いこと,難読
131,漢字,3,「艱難」の読みは？,かんなん,きなん,けんなん,かいなん,0,多くの苦難のこと,難読
132,漢字,3,「忖度」の読みは？,そんたく,しんたく,せんたく,そたく,0,相手の気持ちを推しはかる,読み
133,漢字,3,「懊悩」の読みは？,おうのう,おんのう,おんどう,のうおう,0,悩み苦しむこと,難読
134,漢字,3,「脆弱」の読みは？,ぜいじゃく,せいじゃく,ぜいにゃく,ぜじゃく,0,弱くこわれやすい様子,読み
135,漢字,2,「渾身」の読みは？,こんしん,こんみ,ぐんしん,ぐんみ,0,力を込めて行うこと,読み
136,漢字,2,「辛辣」の読みは？,しんらつ,しんれつ,しんりつ,しんかつ,0,手厳しい様子,読み
137,漢字,1,「迅速」の読みは？,じんそく,しんそく,じんそくう,じんそ,0,素早いこと,読み
138,漢字,3,「蹉跌」の読みは？,さてつ,さてき,しちょう,しつてつ,0,思いがけない失敗のこと,難読
139,漢字,3,「諧謔」の読みは？,かいぎゃく,かいぎょく,かいにゃく,かいがく,0,こっけいでおどけること,難読
140,漢字,2,「矛盾」の読みは？,むじゅん,むしゅん,ぶじゅん,みじゅん,0,話が食い違うこと,読み
141,漢字,1,「要点」の読みは？,ようてん,ようでん,ようたん,ようてい,0,大事な部分のこと,読み
142,漢字,1,「概算」の読みは？,がいさん,かいさん,がいざん,かいざん,0,おおよその計算,読み
143,漢字,1,「至福」の読みは？,しふく,しほく,しぼく,しふこう,0,とても幸せなこと,読み
144,漢字,1,「負荷」の読みは？,ふか,ぶか,ふかん,ふうか,0,重さや仕事のこと,読み
145,漢字,2,「凶作」の読みは？,きょうさく,きょさく,ぎょうさく,こうさく,0,不作の反対,読み
146,漢字,2,「円滑」の読みは？,えんかつ,えんかち,えんがつ,えんこう,0,順調に進むこと,読み
147,漢字,2,「兼用」の読みは？,けんよう,けんゆう,こんよう,けんよ,0,ひとつで何役もこなす,読み
148,漢字,2,「堅実」の読みは？,けんじつ,けんじゅつ,こんじつ,けんしつ,0,手堅い様子,読み
149,漢字,2,「壮観」の読みは？,そうかん,そうがん,そうけん,そうこん,0,見事な景色のこと,読み
150,漢字,3,「幽玄」の読みは？,ゆうげん,ゆうげい,ゆうげんう,ゆうげ,0,奥深い味わいのこと,難読
151,漢字,3,「膾炙」の読みは？,かいしゃ,かいざ,かいじ,かいしゃく,0,広く知られ親しまれること,難読
152,漢字,3,「憂慮」の読みは？,ゆうりょ,ゆうろ,ゆうりょう,ゆうぎょ,0,心配すること,読み
153,漢字,3,「昵懇」の読みは？,じっこん,じつこん,しっこん,にっこん,0,親しい間柄のこと,難読
154,漢字,3,「傲慢」の読みは？,ごうまん,ごうばん,ごうみん,こうまん,0,態度が大きいこと,読み
155,漢字,2,「廉価」の読みは？,れんか,れいか,れんが,れいが,0,安いという意味,読み
156,漢字,2,「補填」の読みは？,ほてん,ほてい,ほつう,ほでん,0,不足分を埋める,読み
157,漢字,2,「旋律」の読みは？,せんりつ,せんりゅう,せんつり,せんりち,0,メロディのこと,読み
158,漢字,1,「精進」の読みは？,しょうじん,せいじん,しょうしん,せいしん,0,努力すること,読み
159,漢字,3,「悄然」の読みは？,しょうぜん,しょうれん,しゅうぜん,しゅうれん,0,しょんぼりした様子,難読
160,漢字,3,「頌徳」の読みは？,しょうとく,じょうとく,しょうとき,しょうどく,0,徳をたたえること,難読
161,漢字,1,「保守」の読みは？,ほしゅ,ほす,ほじゅ,ほしゃ,0,守りを固めるイメージ,読み
162,漢字,1,「既成」の読みは？,きせい,ぎせい,きしょう,きせ,0,すでにできあがったもの,読み
163,漢字,1,「柔軟」の読みは？,じゅうなん,じゅうねん,じゅなん,じゅんなん,0,しなやかなこと,読み
164,漢字,1,「増減」の読みは？,ぞうげん,ぞうこう,ぞうへん,ぞうごん,0,ふえたりへったり,読み
165,漢字,2,「譲歩」の読みは？,じょうほ,じょうふ,じゅうほ,じょうぼ,0,一部ゆずること,読み
166,漢字,2,「弊害」の読みは？,へいがい,へいかい,へいがん,へいが,0,悪い影響のこと,読み
167,漢字,2,「堕落」の読みは？,だらく,だらん,だらくう,たらく,0,生活態度が崩れること,読み
168,漢字,2,「享受」の読みは？,きょうじゅ,きょうじょ,こうじゅ,しょんじゅ,0,受け取って味わうこと,読み
169,漢字,2,「錯覚」の読みは？,さっかく,さかく,さっこう,さくかく,0,思い違いのこと,読み
170,漢字,3,「頒布」の読みは？,はんぷ,ばんぷ,はんぶ,ばんふ,0,配り広めること,難読
171,漢字,3,「瑕疵」の読みは？,かし,きず,かじ,かみ,0,欠点や不備のこと,難読
172,漢字,3,「煩瑣」の読みは？,はんさ,はんしゃ,ばんさ,ほうさ,0,こまごまして面倒なこと,難読
173,漢字,3,「遜色」の読みは？,そんしょく,そんそく,そんしき,そくしょく,0,劣っていること,読み
174,漢字,3,「醜聞」の読みは？,しゅうぶん,しゅうもん,しゅんぶん,しょくぶん,0,スキャンダルの意味,読み
175,漢字,2,「希薄」の読みは？,きはく,きばく,けいはく,けいはつ,0,うすいこと,読み
176,漢字,2,「陳述」の読みは？,ちんじゅつ,ちんしゅつ,ちじゅつ,ちんじつ,0,述べること,読み
177,漢字,2,「抑止」の読みは？,よくし,よくじ,よしき,よくじょ,0,止めること,読み
